,Ticker,Sample Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
0,SUNW,3,76506,107010,-0.7865822834645669,-0.6244622834645668,0.7149425287356321,-0.9157868503937002,-0.9157868503937004,2.2148031714935015,2.022821214059271,2.5164531496063,2.027573149606299,0.08730669431128227,0.21304124753367537,-1.5,-1.5,[-3.43224    -0.91578685  1.98828   ],[-2.94336    -0.91578685  1.98576   ],[-3.43224    -0.91578685  1.98828   ],[-2.94336    -0.91578685  1.98576   ],-8.2682141472,-6.802406553599998
1,JAVA,3,76506,107010,-0.7865822834645669,-0.6244622834645668,0.7149425287356321,-0.9157868503937002,-0.9157868503937004,2.2148031714935015,2.022821214059271,2.5164531496063,2.027573149606299,0.08730669431128227,0.21304124753367537,-1.5,-1.5,[-3.43224    -0.91578685  1.98828   ],[-2.94336    -0.91578685  1.98576   ],[-3.43224    -0.91578685  1.98828   ],[-2.94336    -0.91578685  1.98576   ],-8.2682141472,-6.802406553599998
2,ORCL,3,140403,245201,-1.8155822834645665,-1.9029422834645666,0.5726037006374363,-0.9157868503937002,-0.9157868503937004,2.46019189306192,2.227383816705299,1.5609068503937003,1.1098268503937003,-0.49968868148690027,-0.5777352734823114,-1.5000000000000002,-1.5,[-5.17608    -0.91578685  0.64512   ],[-4.98708    -0.91578685  0.19404   ],[-5.17608    -0.91578685  0.64512   ],[-4.98708    -0.91578685  0.19404   ],-7.870152729599998,-5.7607330031999995
3,MSFT,3,257485,466255,-1.519062283464567,-1.5728222834645667,0.5522407266410012,-0.9157868503937002,-0.9157868503937004,1.711390770827464,1.7529816318933038,1.1249468503937003,1.0846268503937004,-0.4849563812208958,-0.509560979134817,-1.4999999999999998,-1.5,[-3.85056    -0.91578685  0.20916   ],[-3.97152    -0.91578685  0.16884   ],[-3.85056    -0.91578685  0.20916   ],[-3.97152    -0.91578685  0.16884   ],-4.446783129600001,-4.4732314368
4,AYE,3,17349,67052,-3.319182283464567,-2.641302283464567,0.2587394857722365,-1.69344,-0.9157868503937004,2.866664630934869,3.260500829823981,0.7776531496062998,1.1148668503937005,-0.6682798715485703,-0.6456079598421566,-1.5000000000000007,-1.4999999999999998,[-7.34832    -1.69344    -0.91578685],[-7.2072     -0.91578685  0.19908   ],[-7.34832    -1.69344    -0.91578685],[-7.2072     -0.91578685  0.19908   ],-7.34832,-8.442929376
5,TROW,3,28142,141192,-3.394782283464567,-3.3116222834645668,0.19931724177007196,-1.4868,-1.88748,3.1108084820819664,2.730106128629239,0.5710131496062997,0.9716931496062996,-0.6892799876707049,-0.6405198665152332,-1.5,-1.5,[-7.78176    -1.4868     -0.91578685],[-7.1316     -1.88748    -0.91578685],[-7.78176    -1.4868     -0.91578685],[-7.1316     -1.88748    -0.91578685],-7.78176,-7.1316
6,HON,3,61563,150806,-2.899182283464567,-2.942862283464567,0.4082264631380714,-1.8698400000000002,-1.9807200000000003,2.1656401308535047,2.157944634896762,0.9540531496062999,1.0649331496062997,-0.6055800710822719,-0.5801574383212816,-1.5,-1.4999999999999996,[-5.91192    -1.86984    -0.91578685],[-5.93208    -1.98072    -0.91578685],[-5.91192    -1.86984    -0.91578685],[-5.93208    -1.98072    -0.91578685],-5.91192,-5.93208
7,EMC,3,118485,168575,-0.7471022834645668,-0.7227422834645666,0.7028622274951802,-0.9157868503937002,-0.9157868503937004,3.5759913198943916,3.602308337831511,4.1242131496063,4.1191731496063,0.07065215785716833,0.08022979681698461,-1.5,-1.4999999999999996,[-5.04       -0.91578685  3.71448   ],[-5.03496    -0.91578685  3.78252   ],[-5.04       -0.91578685  3.71448   ],[-5.03496    -0.91578685  3.78252   ],-20.0464992,-20.2972768992
8,FO,3,17376,73695,-0.002022283464566769,0.11557771653543318,0.235782617545288,0.30239999999999995,0.2268,0.658011304072805,0.8005716890812837,0.30492,0.80892,-0.594938405175567,-0.2057113805069443,-1.5,-1.4999999999999996,[-0.91578685  0.3024      0.60732   ],[-0.91578685  0.2268      1.03572   ],[-0.91578685  0.3024      0.60732   ],[-0.91578685  0.2268      1.03572   ],0.0,0.0
9,LLTC,3,77085,257982,0.05173771653543321,0.05509771653543331,0.2987999162732284,-0.9157868503937002,-0.9157868503937004,1.7797204216971,2.2150001414786833,0.5609331496062998,1.1228931496062993,0.6547893044845459,0.5732704020420071,-1.5000000000000002,-1.4999999999999998,[-1.47672    -0.91578685  2.54772   ],[-2.03868    -0.91578685  3.11976   ],[-1.47672    -0.91578685  2.54772   ],[-2.03868    -0.91578685  3.11976   ],-2.6912690784,-5.279112316799999
10,GENZ,3,33167,139922,-2.2179422834645663,-2.1608222834645665,0.2370392075584969,-0.9157868503937002,-0.9157868503937004,2.339962947642117,2.186094754305261,0.6814268503937002,0.5831468503937005,-0.6623979797863757,-0.6695570529503362,-1.4999999999999996,-1.4999999999999993,[-5.50368    -0.91578685 -0.23436   ],[-5.23404    -0.91578685 -0.33264   ],[-5.50368    -0.91578685 -0.23436   ],[-5.23404    -0.91578685 -0.33264   ],-5.503679999999999,-5.23404
