,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
0,SUNW,20070620,0,34200000,152606,5.139999866485596,
1,SUNW,20070620,18698,52200000,500,5.105000019073486,-0.00681
2,SUNW,20070621,0,34200000,305535,5.070000171661377,-0.00686
3,SUNW,20070621,25734,52200000,600,5.150000095367432,0.01578
4,SUNW,20070622,0,34200000,124582,5.110000133514404,-0.00777
5,SUNW,20070622,13464,52200000,520,5.110000133514404,0.0
0,ADP,20070620,0,34252000,24500,48.91999816894531,
1,ADP,20070620,5084,52252000,100,48.599998474121094,-0.00654
2,ADP,20070621,0,34283000,300,48.540000915527344,-0.00123
3,ADP,20070621,4910,52283000,100,48.79999923706055,0.00536
4,ADP,20070622,0,34206000,32800,48.54999923706055,-0.00512
5,ADP,20070622,4646,52206000,100,48.61000061035156,0.00124
