,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
0,SUNW,20070620,1,25645,35006,-0.8859,-0.7639,0.73259,-0.8859,-0.7639,0.83022,0.70778,0.83022,0.70778,-0.0,0.0,-2.0,-2.0,[-1.71612    -0.05568609],[-1.47168    -0.05611395],[-1.71612    -0.05568609],[-1.47168    -0.05611395],-1.71612,-1.47168
1,SUNW,20070621,2,57582,76247,1.12392,1.24488,0.7552,1.12392,1.24488,2.85264,2.72664,2.85264,2.72664,0.0,0.0,-2.0,-2.0,[-1.72872  3.97656],[-1.48176  3.97152],[-1.72872  3.97656],[-1.48176  3.97152],-0.0,-0.0
2,SUNW,20070622,3,76506,107010,-0.97902,-0.97776,0.71494,-0.97902,-0.97776,0.97902,0.97776,0.97902,0.97776,0.0,0.0,-2.0,-2.0,[-1.95804  0.     ],[-1.95552  0.     ],[-1.95804  0.     ],[-1.95552  0.     ],-0.0,-0.0
3,SUNW,20070625,4,101127,143642,-2.22768,-2.22642,0.70402,-2.22768,-2.22642,0.74844,0.74718,0.74844,0.74718,-0.0,0.0,-2.0,-2.0,[-2.97612 -1.47924],[-2.9736  -1.47924],[-2.97612 -1.47924],[-2.9736  -1.47924],-0.0,-0.0
4,SUNW,20070626,5,131771,185454,1.0017,1.00044,0.71053,1.0017,1.00044,0.00126,0.00252,0.00126,0.00252,0.0,0.0,-2.0,-2.0,[1.00044 1.00296],[0.99792 1.00296],[1.00044 1.00296],[0.99792 1.00296],0.0,0.0
5,SUNW,20070627,6,160472,224427,0.77364,0.52038,0.71503,0.77364,0.52038,3.76236,3.50658,3.76236,3.50658,0.0,0.0,-2.0,-2.0,[-2.98872  4.536  ],[-2.9862   4.02696],[-2.98872  4.536  ],[-2.9862   4.02696],-0.0,-0.0
6,SUNW,20070628,7,194306,268262,0.8694,0.99162,0.72431,0.8694,0.99162,1.36332,0.99162,1.36332,0.99162,-0.0,0.0,-2.0,-2.0,[-0.49392  2.23272],[0.      1.98324],[-0.49392  2.23272],[0.      1.98324],0.0,0.0
7,SUNW,20070629,8,236121,330784,3.41838,3.41838,0.71382,3.41838,3.41838,0.22302,0.02394,0.22302,0.02394,0.0,0.0,-2.0,-2.0,[3.19536 3.6414 ],[3.39444 3.44232],[3.19536 3.6414 ],[3.39444 3.44232],0.0,0.0
8,SUNW,20070702,9,266517,376986,-3.42846,-3.3075,0.70697,-3.42846,-3.3075,5.58306,5.7015,5.58306,5.7015,0.0,0.0,-2.0,-2.0,[-9.01152  2.1546 ],[-9.009  2.394],[-9.01152  2.1546 ],[-9.009  2.394],-9.01152,-9.009
9,SUNW,20070703,10,281787,396160,3.93372,2.5704,0.7113,3.93372,2.5704,0.0,0.87192,0.0,0.87192,,-0.0,,-2.0,[3.93372],[1.69848 3.44232],[3.93372],[1.69848 3.44232],0.0,0.0
10,SUNW,20070705,11,307719,432576,3.0114,2.27808,0.71136,3.0114,2.27808,0.86436,0.11088,0.86436,0.11088,0.0,-0.0,-2.0,-2.0,[2.14704 3.87576],[2.1672  2.38896],[2.14704 3.87576],[2.1672  2.38896],0.0,0.0
11,SUNW,20070706,12,337635,473166,2.0034,2.12058,0.71357,2.0034,2.12058,0.34776,0.22806,0.34776,0.22806,0.0,0.0,-2.0,-2.0,[1.65564 2.35116],[1.89252 2.34864],[1.65564 2.35116],[1.89252 2.34864],0.0,0.0
12,SUNW,20070709,13,371818,517357,-1.63296,-1.6317,0.71869,-1.63296,-1.6317,1.16676,1.1655,1.16676,1.1655,0.0,0.0,-2.0,-2.0,[-2.79972 -0.4662 ],[-2.7972 -0.4662],[-2.79972 -0.4662 ],[-2.7972 -0.4662],-2.79972,-2.7972
13,SUNW,20070710,14,410467,569602,0.48762,0.49266,0.72062,0.48762,0.49266,2.84634,3.32262,2.84634,3.32262,0.0,0.0,-2.0,-2.0,[-2.35872  3.33396],[-2.82996  3.81528],[-2.35872  3.33396],[-2.82996  3.81528],-0.0,-0.0
14,SUNW,20070711,15,433252,599787,0.09072,0.02142,0.72234,0.09072,0.02142,3.38184,3.31002,3.38184,3.31002,0.0,0.0,-2.0,-2.0,[-3.29112  3.47256],[-3.2886   3.33144],[-3.29112  3.47256],[-3.2886   3.33144],-0.0,-0.0
15,SUNW,20070712,16,455519,641063,-0.30114,-0.23184,0.71057,-0.30114,-0.23184,1.10502,1.1718,1.10502,1.1718,0.0,0.0,-2.0,-2.0,[-1.40616  0.80388],[-1.40364  0.93996],[-1.40616  0.80388],[-1.40364  0.93996],-1.40616,-1.40364
16,SUNW,20070713,17,474614,677302,0.4851,0.24822,0.70074,0.4851,0.24822,2.81106,2.57418,2.81106,2.57418,0.0,0.0,-2.0,-2.0,[-2.32596  3.29616],[-2.32596  2.8224 ],[-2.32596  3.29616],[-2.32596  2.8224 ],-2.32596,-2.32596
17,SUNW,20070716,18,494580,718735,-0.9387,-0.94122,0.68813,-0.9387,-0.94122,0.9387,0.00126,0.9387,0.00126,0.0,0.0,-2.0,-2.0,[-1.8774  0.    ],[-0.94248 -0.93996],[-1.8774  0.    ],[-0.94248 -0.93996],-0.0,-0.94248
18,SUNW,20070717,19,519800,760841,-0.47124,-0.2331,0.68319,-0.47124,-0.2331,0.945,1.18062,0.945,1.18062,0.0,0.0,-2.0,-2.0,[-1.41624  0.47376],[-1.41372  0.94752],[-1.41624  0.47376],[-1.41372  0.94752],-1.41624,-1.41372
19,SUNW,20070718,20,548703,812296,-2.14452,-2.142,0.6755,-2.14452,-2.142,0.22932,0.70308,0.22932,0.70308,0.0,0.0,-2.0,-2.0,[-2.37384 -1.9152 ],[-2.84508 -1.43892],[-2.37384 -1.9152 ],[-2.84508 -1.43892],-0.0,-0.0
20,SUNW,20070719,21,581325,860742,4.07232,3.82914,0.67538,4.07232,3.82914,0.756,0.5103,0.756,0.5103,0.0,0.0,-2.0,-2.0,[3.31632 4.82832],[3.31884 4.33944],[3.31632 4.82832],[3.31884 4.33944],0.0,0.0
21,SUNW,20070720,22,604191,895717,-1.16928,-0.93366,0.67453,-1.16928,-0.93366,1.16928,1.40238,1.16928,1.40238,0.0,0.0,-2.0,-2.0,[-2.33856  0.     ],[-2.33604  0.46872],[-2.33856  0.     ],[-2.33604  0.46872],-2.33856,-2.33604
22,SUNW,20070723,23,624152,946473,0.0,-0.23562,0.65945,0.0,-0.23562,0.0,0.23562,0.0,0.23562,,0.0,,-2.0,[0. 0.],[-0.47124  0.     ],[0. 0.],[-0.47124  0.     ],0.0,-0.47124
23,SUNW,20070724,24,650465,995596,-3.087,-2.85012,0.65334,-3.087,-2.85012,0.21672,0.01512,0.21672,0.01512,0.0,0.0,-2.0,-2.0,[-3.30372 -2.87028],[-2.86524 -2.835  ],[-3.30372 -2.87028],[-2.86524 -2.835  ],-0.0,-0.0
24,SUNW,20070725,25,680321,1059562,-0.48006,-0.71946,0.64208,-0.48006,-0.71946,1.44774,1.68714,1.44774,1.68714,0.0,-0.0,-2.0,-2.0,[-1.9278   0.96768],[-2.4066   0.96768],[-1.9278   0.96768],[-2.4066   0.96768],-1.9278,-2.4066
25,SUNW,20070726,26,716557,1112701,-4.62798,-4.62546,0.64398,-4.62798,-4.62546,3.65778,4.1391,3.65778,4.1391,0.0,-0.0,-2.0,-2.0,[-8.28576 -0.9702 ],[-8.76456 -0.48636],[-8.28576 -0.9702 ],[-8.76456 -0.48636],-8.28576,-8.76456
26,SUNW,20070727,27,749198,1166825,-1.26,-1.00926,0.64208,-1.26,-1.00926,1.26,1.00926,1.26,1.00926,0.0,0.0,-2.0,-2.0,[-2.52  0.  ],[-2.01852  0.     ],[-2.52  0.  ],[-2.01852  0.     ],-2.52,-2.01852
27,SUNW,20070730,28,792199,1220668,-2.85768,-3.04416,0.64899,-2.85768,-3.04416,3.36672,3.5532,3.36672,3.5532,0.0,0.0,-2.0,-2.0,[-6.2244   0.50904],[-6.59736  0.50904],[-6.2244   0.50904],[-6.59736  0.50904],-6.2244,-6.59736
28,SUNW,20070731,29,880253,1325322,9.28494,9.27738,0.66418,9.28494,9.27738,20.01762,20.69046,20.01762,20.69046,0.0,-0.0,-2.0,-2.0,[-10.73268  29.30256],[-11.41308  29.96784],[-10.73268  29.30256],[-11.41308  29.96784],-10.73268,-11.41308
29,SUNW,20070801,30,926918,1403253,-1.8333,-1.7136,0.66055,-1.8333,-1.7136,0.3717,0.00504,0.3717,0.00504,0.0,0.0,-2.0,-2.0,[-2.205  -1.4616],[-1.71864 -1.70856],[-2.205  -1.4616],[-1.71864 -1.70856],-0.0,-0.0
30,SUNW,20070802,31,968460,1457221,0.86562,0.99162,0.66459,0.86562,0.99162,0.86562,1.4805,0.86562,1.4805,0.0,0.0,-2.0,-2.0,[0.      1.73124],[-0.48888  2.47212],[0.      1.73124],[-0.48888  2.47212],0.0,-0.48888
