,Ticker,Date,N,MillisFromMidn,AskSize,AskPrice,BidSize,BidPrice,MidQuote,Returns
0,SUNW,20070620,0,34204000,1231,5.139999866485596,1071,5.130000114440918,5.134999990463257,
1,SUNW,20070621,0,34200000,1236,5.079999923706055,918,5.070000171661377,5.075000047683716,-0.01168
2,SUNW,20070622,0,34200000,1101,5.119999885559082,1124,5.110000133514404,5.115000009536743,0.00788
0,JAVA,20070620,0,34204000,1231,5.139999866485596,1071,5.130000114440918,5.134999990463257,
1,JAVA,20070621,0,34200000,1236,5.079999923706055,918,5.070000171661377,5.075000047683716,-0.01168
2,JAVA,20070622,0,34200000,1101,5.119999885559082,1124,5.110000133514404,5.115000009536743,0.00788
0,ORCL,20070620,0,34200000,159,19.969999313354492,44,19.950000762939453,19.960000038146973,
1,ORCL,20070621,0,34200000,2,19.579999923706055,1,19.549999237060547,19.5649995803833,-0.01979
2,ORCL,20070622,0,34200000,10,19.600000381469727,27,19.559999465942383,19.579999923706055,0.00077
0,MSFT,20070620,0,34200000,2,30.479999542236328,5,30.43000030517578,30.454999923706055,
1,MSFT,20070621,0,34200000,6,30.0,23,29.950000762939453,29.975000381469727,-0.01576
2,MSFT,20070622,0,34200000,20,30.0,3,29.989999771118164,29.994999885559082,0.00067
0,AYE,20070620,0,34437000,1,52.11000061035156,1,52.099998474121094,52.10499954223633,
1,AYE,20070621,0,34308000,3,50.66999816894531,6,50.560001373291016,50.614999771118164,-0.0286
2,AYE,20070622,0,34450000,9,50.709999084472656,10,50.599998474121094,50.654998779296875,0.00079
0,TROW,20070620,0,34200000,1,54.43000030517578,1,54.060001373291016,54.2450008392334,
1,TROW,20070621,0,34200000,3,52.75,1,52.66999816894531,52.709999084472656,-0.0283
2,TROW,20070622,0,34200000,2,52.380001068115234,1,52.25,52.31500053405762,-0.00749
0,HON,20070620,0,34216000,4,58.040000915527344,2,57.939998626708984,57.989999771118164,
1,HON,20070621,0,34219000,5,56.650001525878906,10,56.599998474121094,56.625,-0.02354
2,HON,20070622,0,34221000,8,56.189998626708984,5,56.16999816894531,56.17999839782715,-0.00786
0,EMC,20070620,0,34247000,2,18.020000457763672,5,18.010000228881836,18.015000343322754,
1,EMC,20070621,0,34325000,45,17.700000762939453,27,17.610000610351562,17.655000686645508,-0.01998
2,EMC,20070622,0,34265000,11,17.93000030517578,21,17.90999984741211,17.920000076293945,0.01501
0,FO,20070620,0,34300000,4,83.06999969482422,5,82.4800033569336,82.7750015258789,
1,FO,20070621,0,34393000,2,83.16000366210938,15,83.06999969482422,83.1150016784668,0.00411
2,FO,20070622,0,34276000,6,83.26000213623047,11,83.12000274658203,83.19000244140625,0.0009
0,LLTC,20070620,0,34200000,1,35.880001068115234,94,35.79999923706055,35.84000015258789,
1,LLTC,20070621,0,34200000,2,35.59000015258789,1,35.5099983215332,35.54999923706055,-0.00809
2,LLTC,20070622,0,34200000,2,36.02000045776367,1,35.959999084472656,35.989999771118164,0.01238
0,GENZ,20070620,0,34200000,2,66.0,1,65.94000244140625,65.97000122070312,
1,GENZ,20070621,0,34200000,3,64.69999694824219,2,64.5,64.5999984741211,-0.02077
2,GENZ,20070622,0,34200000,1,64.58999633789062,1,64.44000244140625,64.51499938964844,-0.00132
0,ADM,20070620,0,34254000,20,34.4900016784668,2,34.439998626708984,34.46500015258789,
1,ADM,20070621,0,34228000,14,33.599998474121094,1,33.56999969482422,33.584999084472656,-0.02553
2,ADM,20070622,0,34302000,2,34.22999954223633,11,34.16999816894531,34.19999885559082,0.01831
0,SOV,20070620,0,34244000,5,22.549999237060547,8,22.5,22.524999618530273,
1,SOV,20070621,0,34207000,9,21.90999984741211,458,21.899999618530273,21.90499973297119,-0.02752
2,SOV,20070622,0,34225000,3,21.729999542236328,40,21.719999313354492,21.72499942779541,-0.00822
0,FISV,20070620,0,34200000,1,58.970001220703125,2,58.5,58.73500061035156,
1,FISV,20070621,0,34200000,3,58.18000030517578,3,57.970001220703125,58.07500076293945,-0.01124
2,FISV,20070622,0,34200000,4,58.150001525878906,6,57.970001220703125,58.060001373291016,-0.00026
0,UIS,20070620,0,34224000,8,8.359999656677246,15,8.300000190734863,8.329999923706055,
1,UIS,20070621,0,34210000,7,8.34000015258789,10,8.289999961853027,8.315000057220459,-0.0018
2,UIS,20070622,0,34216000,36,8.430000305175781,2,8.420000076293945,8.425000190734863,0.01323
0,DELL,20070620,0,34200000,61,27.799999237060547,2,27.75,27.774999618530273,
1,DELL,20070621,0,34200000,5,27.43000030517578,7,27.389999389648438,27.40999984741211,-0.01314
2,DELL,20070622,0,34200000,2,27.780000686645508,2,27.75,27.765000343322754,0.01295
0,KO,20070620,0,34239000,6,51.54999923706055,1,51.52000045776367,51.53499984741211,
1,KO,20070621,0,34254000,10,51.459999084472656,7,51.349998474121094,51.404998779296875,-0.00252
2,KO,20070622,0,34207000,1,52.09000015258789,16,52.04999923706055,52.06999969482422,0.01294
0,ED,20070620,0,34235000,10,47.0,10,46.81999969482422,46.90999984741211,
1,ED,20070621,0,34213000,1,45.900001525878906,10,45.81999969482422,45.86000061035156,-0.02238
2,ED,20070622,0,34212000,10,45.84000015258789,4,45.75,45.795000076293945,-0.00142
0,CELG,20070620,0,34201000,1,59.02000045776367,1,59.0,59.010000228881836,
1,CELG,20070621,0,34200000,1,57.310001373291016,1,57.290000915527344,57.30000114440918,-0.02898
2,CELG,20070622,0,34200000,1,57.86000061035156,9,57.5099983215332,57.68499946594238,0.00672
0,FAST,20070620,0,34201000,20,41.70000076293945,4,41.619998931884766,41.65999984741211,
1,FAST,20070621,0,34201000,2,42.06999969482422,3,41.88999938964844,41.97999954223633,0.00768
2,FAST,20070622,0,34200000,1,42.709999084472656,7,42.5,42.60499954223633,0.01489
0,DTE,20070620,0,34404000,2,50.88999938964844,2,50.61000061035156,50.75,
1,DTE,20070621,0,34346000,1,49.459999084472656,6,49.25,49.35499954223633,-0.02749
2,DTE,20070622,0,34315000,13,49.310001373291016,20,49.290000915527344,49.30000114440918,-0.00111
0,DD,20070620,0,34244000,4,52.2400016784668,5,52.18000030517578,52.21000099182129,
1,DD,20070621,0,34326000,2,52.0,85,51.95000076293945,51.97500038146973,-0.0045
2,DD,20070622,0,34309000,1,52.29999923706055,24,52.2400016784668,52.27000045776367,0.00568
0,EK,20070620,0,34316000,3,29.84000015258789,2,29.610000610351562,29.725000381469727,
1,EK,20070621,0,34315000,3,29.43000030517578,11,29.299999237060547,29.364999771118164,-0.01211
2,EK,20070622,0,34295000,11,29.149999618530273,68,29.040000915527344,29.09500026702881,-0.00919
0,ETN,20070620,0,34404000,4,94.44000244140625,1,94.44000244140625,94.44000244140625,
1,ETN,20070621,0,34238000,5,94.1500015258789,1,93.55000305175781,93.85000228881836,-0.00625
2,ETN,20070622,0,34243000,1,94.3499984741211,5,93.95999908447266,94.15499877929688,0.00325
0,XOM,20070620,0,34224000,13,85.93000030517578,35,85.86000061035156,85.89500045776367,
1,XOM,20070621,0,34234000,2,83.13999938964844,106,83.12000274658203,83.13000106811523,-0.03219
2,XOM,20070622,0,34215000,49,84.11000061035156,10,84.08000183105469,84.09500122070312,0.01161
0,WMI,20070620,0,34236000,14,39.689998626708984,2,39.5,39.59499931335449,
1,WMI,20070621,0,34212000,1,39.5,10,39.310001373291016,39.40500068664551,-0.0048
2,WMI,20070622,0,34508000,1,39.84000015258789,1,39.77000045776367,39.80500030517578,0.01015
0,BMC,20070620,0,34271000,6,31.3799991607666,8,31.350000381469727,31.364999771118164,
1,BMC,20070621,0,34237000,1,30.610000610351562,83,30.5,30.55500030517578,-0.02582
2,BMC,20070622,0,34329000,10,30.420000076293945,22,30.34000015258789,30.380000114440918,-0.00573
0,GD,20070620,0,34308000,1,80.62999725341797,1,80.5,80.56499862670898,
1,GD,20070621,0,34251000,10,79.3499984741211,1,79.20999908447266,79.27999877929688,-0.01595
2,GD,20070622,0,34247000,8,78.91000366210938,6,78.62999725341797,78.77000045776367,-0.00643
0,GE,20070620,0,34239000,29,39.5,184,39.5,39.5,
1,GE,20070621,0,34212000,34,38.939998626708984,1,38.90999984741211,38.92499923706055,-0.01456
2,GE,20070622,0,34215000,10,38.709999084472656,9,38.70000076293945,38.704999923706055,-0.00565
0,LH,20070620,0,34240000,1,79.98999786376953,5,79.5999984741211,79.79499816894531,
1,LH,20070621,0,34234000,1,79.2300033569336,2,79.05999755859375,79.14500045776367,-0.00815
2,LH,20070622,0,34267000,2,79.23999786376953,5,78.8499984741211,79.04499816894531,-0.00126
0,NVLS,20070620,0,34200000,1,30.459999084472656,2,30.280000686645508,30.369999885559082,
1,NVLS,20070621,0,34200000,5,30.100000381469727,1,29.959999084472656,30.02999973297119,-0.0112
2,NVLS,20070622,0,34200000,1,30.950000762939453,1,30.799999237060547,30.875,0.02814
0,GM,20070620,0,34213000,224,34.63999938964844,16,34.59000015258789,34.614999771118164,
1,GM,20070621,0,34228000,302,35.25,107,35.2400016784668,35.2450008392334,0.0182
2,GM,20070622,0,34224000,11,35.900001525878906,10,35.849998474121094,35.875,0.01787
0,GR,20070620,0,34275000,4,58.25,4,57.81999969482422,58.03499984741211,
1,GR,20070621,0,34226000,5,59.0,4,58.09000015258789,58.545000076293945,0.00879
2,GR,20070622,0,34240000,10,58.619998931884766,4,58.33000183105469,58.47500038146973,-0.0012
0,IR,20070620,0,34225000,21,55.09000015258789,27,55.040000915527344,55.06500053405762,
1,IR,20070621,0,34252000,8,55.25,22,55.13999938964844,55.19499969482422,0.00236
2,IR,20070622,0,34209000,1,55.61000061035156,1,55.54999923706055,55.579999923706055,0.00698
0,IBM,20070620,0,34241000,252,106.5,4,106.41999816894531,106.45999908447266,
1,IBM,20070621,0,34243000,14,105.77999877929688,20,105.75,105.76499938964844,-0.00653
2,IBM,20070622,0,34224000,5,105.80000305175781,1,105.75,105.7750015258789,9e-05
0,ITT,20070620,0,34444000,50,70.0,10,69.5,69.75,
1,ITT,20070621,0,34305000,4,69.1500015258789,1,69.05999755859375,69.10499954223633,-0.00925
2,ITT,20070622,0,34205000,4,69.55999755859375,5,69.45999908447266,69.5099983215332,0.00586
0,PCG,20070620,0,34376000,2,47.349998474121094,2,47.04999923706055,47.19999885559082,
1,PCG,20070621,0,34391000,66,45.599998474121094,3,45.2400016784668,45.420000076293945,-0.03771
2,PCG,20070622,0,34277000,2,45.650001525878906,40,45.5,45.57500076293945,0.00341
0,PEP,20070620,0,34240000,84,66.16999816894531,1,66.0,66.08499908447266,
1,PEP,20070621,0,34236000,7,65.58000183105469,206,65.5,65.54000091552734,-0.00825
2,PEP,20070622,0,34297000,5,65.58999633789062,1,65.58999633789062,65.58999633789062,0.00076
0,MO,20070620,0,34296000,2,69.5199966430664,1,69.45999908447266,69.48999786376953,
1,MO,20070621,0,34293000,4,68.29000091552734,41,68.2699966430664,68.27999877929688,-0.01741
2,MO,20070622,0,34250000,4,68.4000015258789,4,68.37999725341797,68.38999938964844,0.00161
0,COP,20070620,0,34293000,50,80.75,1,80.72000122070312,80.73500061035156,
1,COP,20070621,0,34334000,221,78.94000244140625,22,78.91000366210938,78.92500305175781,-0.02242
2,COP,20070622,0,34290000,7,79.5999984741211,10,79.47000122070312,79.53499984741211,0.00773
0,AMGN,20070620,0,34200000,1,58.2400016784668,2,58.11000061035156,58.17500114440918,
1,AMGN,20070621,0,34200000,1,57.70000076293945,1,57.58000183105469,57.64000129699707,-0.0092
2,AMGN,20070622,0,34200000,1,56.720001220703125,1,56.66999816894531,56.69499969482422,-0.01639
0,SLB,20070620,0,34352000,31,84.9000015258789,5,84.8499984741211,84.875,
1,SLB,20070621,0,34590000,12,85.38999938964844,5,85.2699966430664,85.32999801635742,0.00536
2,SLB,20070622,0,34489000,3,85.51000213623047,15,85.5,85.50500106811523,0.00205
0,CVX,20070620,0,34210000,11,83.69999694824219,10,83.55000305175781,83.625,
1,CVX,20070621,0,34212000,7,81.58000183105469,10,81.44999694824219,81.51499938964844,-0.02523
2,CVX,20070622,0,34225000,20,82.88999938964844,20,82.80000305175781,82.84500122070312,0.01632
0,AAPL,20070620,0,34200000,1,123.88999938964844,1,123.83999633789062,123.86499786376953,
1,AAPL,20070621,0,34200000,1,121.76000213623047,30,121.62000274658203,121.69000244140625,-0.01756
2,AAPL,20070622,0,34200000,1,123.86000061035156,3,123.8499984741211,123.85499954223633,0.01779
0,SUN,20070620,0,34240000,13,85.44999694824219,2,85.22000122070312,85.33499908447266,
1,SUN,20070621,0,34224000,1,83.23999786376953,5,83.0199966430664,83.12999725341797,-0.02584
2,SUN,20070622,0,34236000,202,84.0,10,83.79000091552734,83.89500045776367,0.0092
0,AMAT,20070620,0,34200000,1,19.860000610351562,17,19.790000915527344,19.825000762939453,
1,AMAT,20070621,0,34200000,2,19.6200008392334,9,19.600000381469727,19.610000610351562,-0.01084
2,AMAT,20070622,0,34200000,10,20.170000076293945,51,20.110000610351562,20.140000343322754,0.02703
0,MRO,20070620,0,34209000,1,65.19000244140625,5,65.16999816894531,65.18000030517578,
1,MRO,20070621,0,34209000,21,62.4900016784668,10,62.400001525878906,62.44500160217285,-0.04196
2,MRO,20070622,0,34241000,2,62.90999984741211,19,62.849998474121094,62.8799991607666,0.00697
0,VMC,20070620,0,34236000,10,119.56999969482422,4,119.30999755859375,119.43999862670898,
1,VMC,20070621,0,34219000,4,117.12999725341797,4,116.83999633789062,116.9849967956543,-0.02055
2,VMC,20070622,0,34249000,11,119.36000061035156,4,118.62999725341797,118.99499893188477,0.01718
0,ATG,20070620,0,34323000,1,41.0,5,40.459999084472656,40.72999954223633,
1,ATG,20070621,0,34373000,2,40.0099983215332,1,39.869998931884766,39.939998626708984,-0.0194
2,ATG,20070622,0,34614000,1,40.25,1,40.11000061035156,40.18000030517578,0.00601
0,RSH,20070620,0,34209000,92,33.849998474121094,33,33.77000045776367,33.80999946594238,
1,RSH,20070621,0,34546000,1,32.66999816894531,2,32.650001525878906,32.65999984741211,-0.03401
2,RSH,20070622,0,34657000,92,32.650001525878906,2,32.54999923706055,32.60000038146973,-0.00184
0,TXN,20070620,0,34207000,10,36.939998626708984,9,36.91999816894531,36.92999839782715,
1,TXN,20070621,0,34297000,9,36.5,4,36.5,36.5,-0.01164
2,TXN,20070622,0,34284000,125,37.47999954223633,1,37.439998626708984,37.459999084472656,0.0263
0,WYE,20070620,0,34338000,21,58.29999923706055,45,58.130001068115234,58.21500015258789,
1,WYE,20070621,0,34219000,20,56.79999923706055,30,56.68000030517578,56.739999771118164,-0.02534
2,WYE,20070622,0,34336000,6,56.689998626708984,30,56.529998779296875,56.60999870300293,-0.00229
0,EIX,20070620,0,34272000,8,55.81999969482422,8,55.70000076293945,55.760000228881836,
1,EIX,20070621,0,34224000,5,54.599998474121094,13,54.209999084472656,54.404998779296875,-0.0243
2,EIX,20070622,0,34267000,2,54.5099983215332,1,54.5,54.5049991607666,0.00184
0,GT,20070620,0,34273000,24,34.599998474121094,10,34.5,34.54999923706055,
1,GT,20070621,0,34320000,33,34.150001525878906,187,34.0,34.07500076293945,-0.01375
2,GT,20070622,0,34267000,2,34.630001068115234,1,34.439998626708984,34.53499984741211,0.0135
0,HSY,20070620,0,34222000,5,51.11000061035156,5,50.9900016784668,51.05000114440918,
1,HSY,20070621,0,34206000,4,50.56999969482422,10,50.5,50.53499984741211,-0.01009
2,HSY,20070622,0,34234000,5,50.33000183105469,10,50.13999938964844,50.23500061035156,-0.00594
0,KR,20070620,0,34246000,1,30.43000030517578,1,30.200000762939453,30.315000534057617,
1,KR,20070621,0,34207000,61,30.200000762939453,51,30.0,30.100000381469727,-0.00709
2,KR,20070622,0,34433000,2,29.940000534057617,53,29.90999984741211,29.925000190734863,-0.00581
0,CVS,20070620,0,34214000,12,37.619998931884766,6,37.5099983215332,37.564998626708984,
1,CVS,20070621,0,34359000,25,36.90999984741211,1,36.86000061035156,36.885000228881836,-0.0181
2,CVS,20070622,0,34217000,32,37.0,1,36.849998474121094,36.92499923706055,0.00108
0,GIS,20070620,0,34279000,1,59.86000061035156,8,59.84000015258789,59.85000038146973,
1,GIS,20070621,0,34204000,8,59.119998931884766,35,59.0,59.05999946594238,-0.0132
2,GIS,20070622,0,34242000,1,58.90999984741211,17,58.81999969482422,58.864999771118164,-0.0033
0,MHP,20070620,0,34239000,260,72.0,3,71.83999633789062,71.91999816894531,
1,MHP,20070621,0,34219000,11,69.29000091552734,6,69.22000122070312,69.25500106811523,-0.03706
2,MHP,20070622,0,34339000,1,69.8499984741211,2,69.43000030517578,69.63999938964844,0.00556
0,KMB,20070620,0,34251000,8,68.48999786376953,7,68.26000213623047,68.375,
1,KMB,20070621,0,34266000,7,67.66000366210938,2,67.3499984741211,67.50500106811523,-0.01272
2,KMB,20070622,0,34274000,9,67.4800033569336,21,67.33999633789062,67.40999984741211,-0.00141
0,UTX,20070620,0,34291000,1,72.0999984741211,10,72.0999984741211,72.0999984741211,
1,UTX,20070621,0,34209000,6,71.80000305175781,2,71.66000366210938,71.7300033569336,-0.00513
2,UTX,20070622,0,34211000,2,72.08000183105469,20,71.94999694824219,72.01499938964844,0.00397
0,HPC,20070620,0,34285000,1,19.309999465942383,22,19.299999237060547,19.304999351501465,
1,HPC,20070621,0,34208000,30,18.959999084472656,30,18.950000762939453,18.954999923706055,-0.01813
2,HPC,20070622,0,34292000,20,19.170000076293945,7,19.0,19.085000038146973,0.00686
0,PG,20070620,0,34206000,1,61.91999816894531,23,61.869998931884766,61.89499855041504,
1,PG,20070621,0,34208000,15,62.150001525878906,16,62.0,62.07500076293945,0.00291
2,PG,20070622,0,34212000,1,61.88999938964844,1,61.84000015258789,61.864999771118164,-0.00338
0,JCP,20070620,0,34209000,1,75.48999786376953,2,75.16999816894531,75.32999801635742,
1,JCP,20070621,0,34279000,5,74.16999816894531,2,74.11000061035156,74.13999938964844,-0.0158
2,JCP,20070622,0,34210000,6,73.36000061035156,25,73.25,73.30500030517578,-0.01126
0,SO,20070620,0,34292000,21,35.47999954223633,42,35.45000076293945,35.46500015258789,
1,SO,20070621,0,34264000,3,34.599998474121094,30,34.560001373291016,34.579999923706055,-0.02495
2,SO,20070622,0,34213000,15,34.099998474121094,1,34.060001373291016,34.079999923706055,-0.01446
0,CAT,20070620,0,34249000,46,82.9000015258789,5,82.66000366210938,82.78000259399414,
1,CAT,20070621,0,34364000,3,81.16999816894531,2,81.0999984741211,81.1349983215332,-0.01987
2,CAT,20070622,0,34211000,16,81.47000122070312,1,81.30000305175781,81.38500213623047,0.00308
0,CL,20070620,0,34562000,4,66.69999694824219,55,66.5,66.5999984741211,
1,CL,20070621,0,34287000,7,66.45999908447266,2,66.05000305175781,66.25500106811523,-0.00518
2,CL,20070622,0,34324000,2,65.98999786376953,27,65.75,65.86999893188477,-0.00581
0,DE,20070620,0,34296000,9,121.73999786376953,1,121.62999725341797,121.68499755859375,
1,DE,20070621,0,34259000,1,121.51000213623047,1,121.44999694824219,121.47999954223633,-0.00168
2,DE,20070622,0,34379000,1,123.30999755859375,1,123.29000091552734,123.29999923706055,0.01498
0,BMY,20070620,0,34210000,113,31.579999923706055,1,31.559999465942383,31.56999969482422,
1,BMY,20070621,0,34221000,2,31.479999542236328,11,31.450000762939453,31.46500015258789,-0.00333
2,BMY,20070622,0,34359000,18,31.780000686645508,34,31.760000228881836,31.770000457763672,0.00969
0,WAG,20070620,0,34215000,3,43.93000030517578,10,43.79999923706055,43.864999771118164,
1,WAG,20070621,0,34241000,10,43.70000076293945,51,43.65999984741211,43.68000030517578,-0.00422
2,WAG,20070622,0,34322000,5,44.70000076293945,10,44.650001525878906,44.67500114440918,0.02278
0,BA,20070620,0,34229000,1,97.12000274658203,20,97.01000213623047,97.06500244140625,
1,BA,20070621,0,34230000,1,96.08999633789062,2,96.08000183105469,96.08499908447266,-0.0101
2,BA,20070622,0,34219000,2,96.6500015258789,1,96.5999984741211,96.625,0.00562
0,BDK,20070620,0,34278000,4,89.37999725341797,1,89.16000366210938,89.27000045776367,
