,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
0,SUNW,20070620,0,34200000,152606,5.139999866485596,
1,SUNW,20070621,0,34200000,305535,5.070000171661377,-0.01362
2,SUNW,20070622,0,34200000,124582,5.110000133514404,0.00789
0,JAVA,20070620,0,34200000,152606,5.139999866485596,
1,JAVA,20070621,0,34200000,305535,5.070000171661377,-0.01362
2,JAVA,20070622,0,34200000,124582,5.110000133514404,0.00789
0,ORCL,20070620,0,34200000,900,19.959999084472656,
1,ORCL,20070621,0,34201000,178398,19.549999237060547,-0.02054
2,ORCL,20070622,0,34201000,100,19.600000381469727,0.00256
0,MSFT,20070620,0,34200000,140,30.440000534057617,
1,MSFT,20070621,0,34201000,436,29.975000381469727,-0.01528
2,MSFT,20070622,0,34200000,200,30.0,0.00083
0,AYE,20070620,0,34437000,5000,52.119998931884766,
1,AYE,20070621,0,34308000,4200,50.599998474121094,-0.02916
2,AYE,20070622,0,34409000,300,50.2599983215332,-0.00672
0,TROW,20070620,0,34200000,1400,54.244998931884766,
1,TROW,20070621,0,34201000,5511,52.56999969482422,-0.03088
2,TROW,20070622,0,34200000,27291,52.2599983215332,-0.0059
0,HON,20070620,0,34216000,30600,57.959999084472656,
1,HON,20070621,0,34218000,27800,56.599998474121094,-0.02346
2,HON,20070622,0,34221000,40600,56.18000030517578,-0.00742
0,EMC,20070620,0,34247000,100,18.0,
1,EMC,20070621,0,34325000,163500,17.639999389648438,-0.02
2,EMC,20070622,0,34240000,100,17.899999618530273,0.01474
0,FO,20070620,0,34300000,9700,82.94999694824219,
1,FO,20070621,0,34394000,5600,83.1500015258789,0.00241
2,FO,20070622,0,34277000,4400,83.25,0.0012
0,LLTC,20070620,0,34200000,75875,35.810001373291016,
1,LLTC,20070621,0,34202000,22082,35.599998474121094,-0.00586
2,LLTC,20070622,0,34201000,66601,35.959999084472656,0.01011
0,GENZ,20070620,0,34200000,100,65.94000244140625,
