,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
0,SUNW,20070620,1,25645,35006,-0.06863,-0.06242,0.73259,0.0,0.0,0.69477,0.64333,0.4914,0.4914,1.92229,1.3687,7.32625,4.10728,"[0.24696 0.24696 0.4914  0.4914  0.4914  0.4914  0.49392 0.59976 0.98784
 2.97612]","[0.4914  0.4914  0.4914  0.4914  0.4914  0.49392 0.49392 0.49392 0.98532
 2.47716]","[-1.47924 -0.9828  -0.98028 -0.74088 -0.59976 -0.49392 -0.49392 -0.4914
 -0.4914  -0.4914 ]","[-0.98784 -0.9828  -0.98028 -0.98028 -0.98028 -0.49392 -0.49392 -0.49392
 -0.49392 -0.4914 ]",-1.0285,-1.0
1,SUNW,20070621,2,57582,76247,0.05111,0.05098,0.7552,0.0,0.0,0.54971,0.42886,0.4914,0.48888,-0.29915,0.03817,-0.97538,-0.16909,"[0.49392 0.49644 0.49644 0.49644 0.7308  0.73332 0.73836 0.74088 0.8694
 0.98784]","[0.4914  0.4914  0.49392 0.49392 0.49392 0.49644 0.49644 0.49644 0.98028
 0.99036]","[-0.98532 -0.97524 -0.97272 -0.7434  -0.7434  -0.49392 -0.4914  -0.4914
 -0.4914  -0.4914 ]","[-0.98028 -0.49644 -0.49644 -0.49392 -0.49392 -0.4914  -0.48888 -0.48888
 -0.48636  0.     ]",-0.99999,-0.99735
2,SUNW,20070622,3,76506,107010,-0.03114,-0.03761,0.71494,0.0,0.0,0.51598,0.40784,0.4914,0.0,-0.27767,-0.12002,0.2611,0.33271,"[0.4914  0.4914  0.4914  0.49392 0.49392 0.49392 0.49392 0.74088 0.98028
 0.98784]","[0.      0.      0.4914  0.4914  0.4914  0.4914  0.49392 0.49392 0.49392
 0.98784]","[-1.47672 -1.008   -0.73836 -0.49392 -0.4914  -0.4914  -0.4914  -0.4914
 -0.4914  -0.4914 ]","[-0.98532 -0.98028 -0.49392 -0.49392 -0.4914  -0.4914  -0.4914  -0.4914
 -0.4914  -0.4914 ]",-1.00693,-0.99995
3,SUNW,20070625,4,101127,143642,-0.08885,-0.08898,0.70402,0.0,0.0,0.55266,0.42036,0.49644,0.0,0.35071,-0.14689,0.41126,0.51081,"[0.24948 0.24948 0.49644 0.49644 0.49896 0.49896 0.50148 0.50148 0.9954
 1.512  ]","[0.      0.      0.      0.      0.49644 0.49644 0.49644 0.49896 0.49896
 1.008  ]","[-0.9954  -0.9954  -0.99288 -0.99288 -0.98784 -0.74844 -0.504   -0.50148
 -0.50148 -0.50148]","[-0.99792 -0.99288 -0.99036 -0.50148 -0.50148 -0.49896 -0.49896 -0.49644
 -0.49644 -0.49644]",-1.0,-1.0
4,SUNW,20070626,5,131771,185454,0.00123,0.0137,0.71053,0.0,0.0,0.80067,0.68298,0.49644,0.49896,-0.4828,-0.70912,1.15018,0.49488,"[0.50148 0.50148 0.504   0.504   0.99288 0.99288 1.00296 1.49688 1.4994
 1.50696]","[0.50148 0.50148 0.50148 0.50148 0.504   0.9954  0.99792 0.99792 1.00296
 1.00296]","[-2.4948  -1.48932 -1.00044 -1.00044 -0.99792 -0.99036 -0.49896 -0.49896
 -0.49644 -0.49644]","[-1.99836 -1.4994  -0.99792 -0.99288 -0.50148 -0.50148 -0.49896 -0.49644
 -0.49644 -0.49644]",-1.00088,-2.12587
5,SUNW,20070627,6,160472,224427,0.0524,0.03922,0.71503,0.0,0.0,0.78812,0.69218,0.49644,0.49644,0.79041,0.51695,1.59174,2.02704,"[0.49644 0.49644 0.49896 0.49896 0.99792 0.99792 1.00044 1.00296 2.016
 2.50488]","[0.49644 0.49896 0.49896 0.49896 0.49896 0.49896 0.50148 1.00044 2.00088
 2.01348]","[-1.50192 -1.48428 -0.99792 -0.99792 -0.49896 -0.49896 -0.49896 -0.49896
 -0.49896 -0.49644]","[-1.50192 -1.4868  -0.99792 -0.99792 -0.49896 -0.49896 -0.49896 -0.49644
 -0.49644  0.     ]",-0.99896,-0.99792
6,SUNW,20070628,7,194306,268262,0.13905,0.13918,0.72431,0.0,0.0,0.44185,0.41733,0.48888,0.48888,-0.23408,-0.31617,0.07554,0.11947,"[0.4914  0.4914  0.49392 0.49392 0.49392 0.49644 0.49644 0.9828  0.98532
 0.99288]","[0.4914  0.49392 0.49392 0.49392 0.49644 0.49644 0.49644 0.49644 0.9828
 0.9954 ]","[-0.98784 -0.73584 -0.4914  -0.4914  -0.4914  -0.48888  0.       0.
  0.       0.     ]","[-0.99036 -0.49644 -0.4914  -0.4914  -0.4914  -0.48888  0.       0.
  0.       0.     ]",-0.98941,-0.99036
7,SUNW,20070629,8,236121,330784,0.08833,0.10041,0.71382,0.0,0.0,0.9065,0.87883,0.48132,0.47628,0.5081,0.32222,0.51096,0.21481,"[0.48132 0.48384 0.48636 0.9576  0.9576  0.96264 1.44648 1.449   2.39904
 2.43684]","[0.48132 0.48132 0.95508 0.9576  0.96264 0.97272 1.44396 1.44648 1.91772
 2.43432]","[-1.43892 -1.4364  -1.42884 -1.42632 -0.9576  -0.95004 -0.71316 -0.48636
 -0.48636 -0.48132]","[-1.43892 -1.4364  -1.42884 -1.42632 -0.9702  -0.95508 -0.48132 -0.4788
 -0.47628 -0.47628]",-3.76667,-2.05023
8,SUNW,20070702,9,266517,376986,-0.08536,-0.09789,0.70697,0.0,0.0,0.79262,0.76628,0.4788,0.4788,1.34916,1.20384,4.08787,4.24796,"[0.      0.24696 0.24696 0.3654  0.48384 0.4914  0.73332 0.73332 1.96056
 2.88036]","[0.      0.      0.48132 0.48888 0.48888 0.4914  0.4914  0.4914  1.46916
 2.87784]","[-1.70604 -1.4238  -1.2096  -0.95508 -0.73584 -0.7308  -0.72828 -0.62748
 -0.48888 -0.48636]","[-1.46664 -1.449   -1.42128 -0.97272 -0.97272 -0.96264 -0.95256 -0.4914
 -0.48888 -0.48132]",-1.4238,-1.42128
9,SUNW,20070703,10,281787,396160,0.11099,0.07607,0.7113,0.0,0.0,0.6213,0.49336,0.46998,0.24192,-0.27259,0.7478,0.70965,0.84372,"[0.      0.0252  0.45864 0.48384 0.48384 0.48636 0.48636 0.97272 1.0206
 1.45404]","[0.      0.24192 0.24192 0.48132 0.48636 0.48636 0.96768 0.9702  0.97272
 1.45152]","[-1.45404 -0.96264 -0.48384 -0.48132 -0.04788  0.       0.       0.
  0.       0.     ]","[-0.9702  -0.48384 -0.48384 -0.48132 -0.48132 -0.48132 -0.24192 -0.24192
  0.       0.     ]",-3.44444,-0.97721
